cps19_citizenship,cps19_age,cps19_province,cps19_education,cps19_gender,cps19_lr_parties_1,cps19_lr_parties_2,cps19_votechoice,cps19_income_number,cps19_income_cat,cps19_lr_scale_bef_1,vote_liberal,vote_conservative
Canadian citizen,64,Alberta,"Completed technical, community college, CEGEP, College Classique",A woman,4,7,Conservative Party,90000,NA,NA,0,1
Canadian citizen,37,British Columbia,"Some technical, community college, CEGEP, College Classique",A woman,2,10,Don't know/ Prefer not to answer,51000,NA,NA,0,0
Canadian citizen,37,Alberta,Completed secondary/ high school,A woman,0,9,Conservative Party,162000,NA,NA,0,1
Canadian citizen,68,Alberta,Some university,A woman,1,8,Don't know/ Prefer not to answer,24000,NA,NA,0,0
Canadian citizen,37,Ontario,Completed secondary/ high school,A man,0,3,Don't know/ Prefer not to answer,NA,"$1 to $30,000",NA,0,0
Canadian citizen,71,Manitoba,Completed secondary/ high school,A man,NA,NA,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,72,Ontario,Completed secondary/ high school,A man,0,5,Conservative Party,99000,NA,5,0,1
Canadian citizen,24,Manitoba,Master's degree,A man,6,8,Liberal Party,95654,NA,7,1,0
Canadian citizen,30,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,5,6,ndp,99000,NA,NA,0,0
Canadian citizen,53,New Brunswick,Bachelor's degree,A woman,5,1,Liberal Party,115000,NA,NA,1,0
Canadian citizen,42,British Columbia,Some secondary/ high school,A woman,6,8,ndp,20000,NA,NA,0,0
Canadian citizen,25,British Columbia,Some university,A woman,6,5,Don't know/ Prefer not to answer,64000,NA,NA,0,0
Canadian citizen,40,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",A man,NA,2,Conservative Party,130000,NA,NA,0,1
Canadian citizen,66,Manitoba,"Completed technical, community college, CEGEP, College Classique",A man,4,9,Liberal Party,94000,NA,NA,1,0
Canadian citizen,31,British Columbia,Master's degree,A woman,0,10,Liberal Party,25000,NA,0,1,0
Canadian citizen,31,Alberta,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,NA,"More than $200,000",NA,0,1
Canadian citizen,48,British Columbia,Bachelor's degree,A man,3,9,Liberal Party,50000,NA,NA,1,0
Canadian citizen,48,New Brunswick,"Completed technical, community college, CEGEP, College Classique",A man,6,5,Don't know/ Prefer not to answer,66000,NA,7,0,0
Canadian citizen,60,Alberta,Professional degree or doctorate,A woman,NA,9,Don't know/ Prefer not to answer,NA,"More than $200,000",NA,0,0
Canadian citizen,40,Alberta,Completed secondary/ high school,A woman,NA,NA,Conservative Party,90000,NA,NA,0,1
Canadian citizen,69,British Columbia,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Liberal Party,NA,"$1 to $30,000",NA,1,0
Canadian citizen,66,British Columbia,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,34000,NA,NA,1,0
Canadian citizen,42,Quebec,Completed secondary/ high school,A man,10,10,Don't know/ Prefer not to answer,NA,"$60,001 to $90,000",10,0,0
Canadian citizen,26,Alberta,Completed secondary/ high school,A woman,8,7,Liberal Party,NA,"$90,001 to $110,000",NA,1,0
Canadian citizen,50,Nova Scotia,Bachelor's degree,A woman,3,8,Liberal Party,100000,NA,NA,1,0
Canadian citizen,30,Ontario,Completed elementary school,A woman,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,53,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",A man,1,8,Conservative Party,280000,NA,NA,0,1
Canadian citizen,54,Quebec,Some university,A woman,NA,NA,Don't know/ Prefer not to answer,NA,"$110,001 to $150,000",NA,0,0
Canadian citizen,59,Ontario,Master's degree,A man,4,9,Liberal Party,NA,"More than $200,000",5,1,0
Canadian citizen,46,Quebec,Bachelor's degree,A woman,4,7,ndp,85000,NA,5,0,0
Canadian citizen,63,Quebec,Completed secondary/ high school,A woman,6,4,Bloc Québécois,60000,NA,NA,0,0
Canadian citizen,79,Ontario,Completed elementary school,A man,NA,NA,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,35,British Columbia,Master's degree,A woman,7,NA,ndp,65000,NA,7,0,0
Canadian citizen,46,Ontario,Bachelor's degree,A woman,1,10,Don't know/ Prefer not to answer,30000,NA,3,0,0
Canadian citizen,52,Alberta,"Some technical, community college, CEGEP, College Classique",A woman,10,10,Don't know/ Prefer not to answer,25099,NA,NA,0,0
Canadian citizen,48,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,33,British Columbia,Bachelor's degree,A man,9,2,Liberal Party,75000,NA,7,1,0
Canadian citizen,68,Quebec,Master's degree,A man,4,6,Liberal Party,50000,NA,NA,1,0
Canadian citizen,58,Quebec,Bachelor's degree,A man,4,7,Conservative Party,115000,NA,NA,0,1
Canadian citizen,18,Ontario,Completed secondary/ high school,A woman,4,6,Conservative Party,NA,"$60,001 to $90,000",NA,0,1
Canadian citizen,67,Quebec,Completed secondary/ high school,A woman,10,1,Liberal Party,80000,NA,6,1,0
Canadian citizen,73,Ontario,Some university,A woman,NA,NA,Liberal Party,34000,NA,NA,1,0
Canadian citizen,62,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,82000,NA,NA,1,0
Canadian citizen,67,Quebec,Completed secondary/ high school,A man,2,3,People's Party,38000,NA,NA,0,0
Canadian citizen,46,Quebec,Bachelor's degree,A woman,4,8,Don't know/ Prefer not to answer,195000,NA,4,0,0
Canadian citizen,28,Ontario,Bachelor's degree,A man,2,4,People's Party,60000,NA,9,0,0
Canadian citizen,51,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",A man,5,5,Liberal Party,149000,NA,NA,1,0
Canadian citizen,69,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,39000,NA,NA,1,0
Canadian citizen,58,Quebec,Completed secondary/ high school,A woman,NA,NA,Bloc Québécois,140000,NA,NA,0,0
Canadian citizen,39,Quebec,Bachelor's degree,A woman,5,6,Liberal Party,NA,"$110,001 to $150,000",NA,1,0
Canadian citizen,66,Quebec,Completed secondary/ high school,A man,7,3,Bloc Québécois,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,47,Quebec,Master's degree,A man,1,0,ndp,200000,NA,5,0,0
Canadian citizen,46,Manitoba,"Some technical, community college, CEGEP, College Classique",A woman,10,5,Green Party,44000,NA,NA,0,0
Canadian citizen,57,British Columbia,Completed secondary/ high school,A woman,NA,NA,Conservative Party,39000,NA,NA,0,1
Canadian citizen,68,Ontario,Completed secondary/ high school,A man,NA,NA,Conservative Party,49000,NA,NA,0,1
Canadian citizen,56,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,8,8,Conservative Party,250000,NA,NA,0,1
Canadian citizen,98,Ontario,"Some technical, community college, CEGEP, College Classique",A man,2,9,Conservative Party,64000,NA,NA,0,1
Canadian citizen,59,Ontario,"Some technical, community college, CEGEP, College Classique",A man,1,8,Conservative Party,25000,NA,NA,0,1
Canadian citizen,87,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,6,4,Don't know/ Prefer not to answer,28000,NA,NA,0,0
Canadian citizen,38,Ontario,Bachelor's degree,A woman,0,7,Green Party,42000,NA,NA,0,0
Canadian citizen,38,Quebec,Completed secondary/ high school,A man,NA,NA,Conservative Party,12762,NA,NA,0,1
Canadian citizen,23,Ontario,Bachelor's degree,A woman,NA,NA,Conservative Party,NA,"$30,001 to $60,000",8,0,1
Canadian citizen,65,Alberta,"Completed technical, community college, CEGEP, College Classique",A man,0,NA,Conservative Party,NA,"$30,001 to $60,000",NA,0,1
Canadian citizen,55,Quebec,Bachelor's degree,A woman,8,2,Bloc Québécois,82500,NA,8,0,0
Canadian citizen,56,Quebec,Completed secondary/ high school,A man,NA,7,Liberal Party,NA,Don't know/ Prefer not to answer,4,1,0
Canadian citizen,68,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,7,10,Green Party,67000,NA,NA,0,0
Canadian citizen,59,British Columbia,"Completed technical, community college, CEGEP, College Classique",A man,4,7,Conservative Party,150000,NA,8,0,1
Canadian citizen,49,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,6,7,Liberal Party,NA,"$90,001 to $110,000",7,1,0
Canadian citizen,43,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,225000,NA,NA,0,1
Canadian citizen,54,New Brunswick,"Completed technical, community college, CEGEP, College Classique",A woman,5,5,Conservative Party,102000,NA,5,0,1
Canadian citizen,67,Quebec,Professional degree or doctorate,A man,10,4,Conservative Party,49000,NA,4,0,1
Canadian citizen,60,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,5,6,Liberal Party,NA,"$1 to $30,000",NA,1,0
Canadian citizen,32,Ontario,Some secondary/ high school,A woman,0,2,People's Party,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,66,Ontario,Master's degree,A man,5,8,Liberal Party,20000,NA,NA,1,0
Canadian citizen,67,Alberta,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,55000,NA,6,1,0
Canadian citizen,39,Ontario,Bachelor's degree,A man,0,8,Conservative Party,170000,NA,NA,0,1
Canadian citizen,66,Alberta,Completed secondary/ high school,A man,2,8,Conservative Party,60000,NA,7,0,1
Canadian citizen,64,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,61,Ontario,Professional degree or doctorate,A man,5,7,Liberal Party,75000,NA,3,1,0
Canadian citizen,74,Ontario,Master's degree,A man,7,9,Liberal Party,69000,NA,6,1,0
Canadian citizen,82,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,ndp,NA,"$30,001 to $60,000",5,0,0
Canadian citizen,60,Quebec,Completed secondary/ high school,A woman,2,9,Liberal Party,42000,NA,3,1,0
Canadian citizen,70,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,3,6,Don't know/ Prefer not to answer,51000,NA,NA,0,0
Canadian citizen,54,Quebec,Completed secondary/ high school,A woman,8,8,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,57,Quebec,Bachelor's degree,A woman,4,9,Bloc Québécois,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,41,Prince Edward Island,Bachelor's degree,A woman,3,6,Don't know/ Prefer not to answer,NA,"$110,001 to $150,000",2,0,0
Canadian citizen,73,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,10,Bloc Québécois,25000,NA,NA,0,0
Canadian citizen,64,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,5,8,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,70,Ontario,Professional degree or doctorate,A man,4,8,Liberal Party,NA,Don't know/ Prefer not to answer,4,1,0
Canadian citizen,38,Quebec,Master's degree,A woman,4,9,ndp,180000,NA,NA,0,0
Canadian citizen,67,Quebec,Completed secondary/ high school,A woman,NA,NA,Bloc Québécois,35000,NA,NA,0,0
Canadian citizen,53,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,133000,NA,NA,0,0
Canadian citizen,51,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,0,10,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,46,Quebec,Master's degree,A man,5,6,Green Party,55000,NA,NA,0,0
Canadian citizen,50,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,220000,NA,NA,0,1
Canadian citizen,64,Quebec,Completed secondary/ high school,A man,10,10,Bloc Québécois,48000,NA,NA,0,0
Canadian citizen,79,Ontario,Completed secondary/ high school,A man,0,8,Conservative Party,42000,NA,NA,0,1
Canadian citizen,46,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,4,6,Don't know/ Prefer not to answer,199000,NA,3,0,0
Canadian citizen,44,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,5,6,Don't know/ Prefer not to answer,NA,"$110,001 to $150,000",6,0,0
Canadian citizen,59,Ontario,Completed secondary/ high school,A woman,10,2,Liberal Party,62000,NA,9,1,0
Canadian citizen,56,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Green Party,40000,NA,4,0,0
Canadian citizen,40,Ontario,Bachelor's degree,A man,7,8,Liberal Party,98000,NA,NA,1,0
Canadian citizen,44,Ontario,Master's degree,A man,7,0,Conservative Party,70000,NA,8,0,1
Canadian citizen,56,Ontario,Bachelor's degree,A woman,6,4,Conservative Party,100000,NA,6,0,1
Canadian citizen,71,Saskatchewan,Bachelor's degree,A man,3,8,Conservative Party,NA,"$60,001 to $90,000",NA,0,1
Canadian citizen,57,Ontario,Master's degree,A woman,2,10,Liberal Party,100000,NA,3,1,0
Canadian citizen,55,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,7,7,Conservative Party,70000,NA,6,0,1
Canadian citizen,66,Quebec,Completed secondary/ high school,A man,NA,NA,Conservative Party,60000,NA,NA,0,1
Canadian citizen,55,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,3,6,ndp,250000,NA,5,0,0
Canadian citizen,62,Quebec,Bachelor's degree,A woman,7,10,Green Party,90000,NA,3,0,0
Canadian citizen,68,British Columbia,Professional degree or doctorate,A woman,6,10,Green Party,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,60,Manitoba,Bachelor's degree,A man,NA,10,Don't know/ Prefer not to answer,NA,"$90,001 to $110,000",4,0,0
Canadian citizen,71,Quebec,Bachelor's degree,A woman,4,8,Don't know/ Prefer not to answer,110000,NA,2,0,0
Canadian citizen,49,Quebec,Completed secondary/ high school,A man,5,8,Liberal Party,30000,NA,NA,1,0
Canadian citizen,52,Ontario,Some university,A woman,6,6,ndp,150000,NA,4,0,0
Canadian citizen,58,Quebec,Some secondary/ high school,A man,6,10,Another party (please specify),80000,NA,NA,0,0
Canadian citizen,55,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,ndp,150000,NA,6,0,0
Canadian citizen,72,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,1,10,Liberal Party,56000,NA,4,1,0
Canadian citizen,86,Ontario,Some university,A man,NA,NA,Don't know/ Prefer not to answer,NA,"More than $200,000",NA,0,0
Canadian citizen,68,Ontario,Bachelor's degree,A woman,NA,NA,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,71,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,24000,NA,5,0,0
Canadian citizen,59,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,35000,NA,NA,1,0
Canadian citizen,63,Alberta,"Some technical, community college, CEGEP, College Classique",A man,2,10,Conservative Party,147000,NA,NA,0,1
Canadian citizen,62,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,8,0,Liberal Party,NA,"$90,001 to $110,000",NA,1,0
Canadian citizen,59,Quebec,Some university,A man,NA,8,Conservative Party,49000,NA,NA,0,1
Canadian citizen,44,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",A woman,10,0,Liberal Party,26000,NA,10,1,0
Canadian citizen,53,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,2,6,Green Party,74000,NA,4,0,0
Canadian citizen,64,Ontario,Bachelor's degree,A woman,NA,NA,Liberal Party,75000,NA,NA,1,0
Canadian citizen,57,Ontario,Completed secondary/ high school,A woman,NA,NA,People's Party,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,42,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,63000,NA,NA,0,1
Canadian citizen,43,Ontario,Completed secondary/ high school,A man,3,6,Conservative Party,999999999999999,NA,6,0,1
Canadian citizen,41,Quebec,Completed secondary/ high school,A woman,NA,NA,Bloc Québécois,35000,NA,NA,0,0
Canadian citizen,72,Quebec,Some elementary school,A woman,NA,NA,ndp,NA,"$1 to $30,000",NA,0,0
Canadian citizen,50,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Don't know/ Prefer not to answer,45000,NA,NA,0,0
Canadian citizen,59,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,NA,"$60,001 to $90,000",NA,1,0
Canadian citizen,69,Quebec,Some secondary/ high school,A man,7,7,Bloc Québécois,NA,"$1 to $30,000",NA,0,0
Canadian citizen,62,Quebec,Completed secondary/ high school,A man,4,6,Don't know/ Prefer not to answer,25000,NA,NA,0,0
Canadian citizen,63,Ontario,Bachelor's degree,A woman,2,10,ndp,38000,NA,NA,0,0
Canadian citizen,55,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,0,10,Conservative Party,52499,NA,7,0,1
Canadian citizen,40,Ontario,Master's degree,A woman,6,7,Liberal Party,175000,NA,5,1,0
Canadian citizen,57,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,6,NA,Bloc Québécois,NA,"$110,001 to $150,000",NA,0,0
Canadian citizen,72,Ontario,Completed secondary/ high school,A man,NA,10,Liberal Party,145000,NA,NA,1,0
Canadian citizen,35,Quebec,Bachelor's degree,A woman,5,8,Don't know/ Prefer not to answer,100000,NA,3,0,0
Canadian citizen,71,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,70,Quebec,Bachelor's degree,A woman,4,9,Liberal Party,NA,"$90,001 to $110,000",3,1,0
Canadian citizen,43,New Brunswick,Professional degree or doctorate,A man,NA,NA,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,78,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,4,4,Liberal Party,78000,NA,3,1,0
Canadian citizen,57,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,1,7,Conservative Party,125000,NA,6,0,1
Canadian citizen,51,Alberta,Completed secondary/ high school,A man,7,7,Conservative Party,21468,NA,NA,0,1
Canadian citizen,56,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Liberal Party,26000,NA,5,1,0
Canadian citizen,36,Ontario,Bachelor's degree,A woman,4,10,Liberal Party,60000,NA,NA,1,0
Canadian citizen,41,Ontario,Bachelor's degree,A woman,0,10,Conservative Party,124000,NA,NA,0,1
Canadian citizen,66,Quebec,Bachelor's degree,A man,4,8,Don't know/ Prefer not to answer,84000,NA,NA,0,0
Canadian citizen,63,Quebec,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,55,Alberta,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Conservative Party,135000,NA,NA,0,1
Canadian citizen,70,Quebec,Bachelor's degree,A man,9,3,Liberal Party,68500,NA,NA,1,0
Canadian citizen,62,Ontario,Master's degree,A man,2,10,Conservative Party,124000,NA,NA,0,1
Canadian citizen,57,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,0,10,Conservative Party,NA,"$110,001 to $150,000",NA,0,1
Canadian citizen,56,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,7,7,Conservative Party,NA,"$30,001 to $60,000",NA,0,1
Canadian citizen,72,Ontario,Bachelor's degree,A man,6,8,Liberal Party,NA,"$60,001 to $90,000",6,1,0
Canadian citizen,41,Ontario,Master's degree,A man,7,4,Liberal Party,190000,NA,NA,1,0
Canadian citizen,38,Ontario,Professional degree or doctorate,A man,5,8,Don't know/ Prefer not to answer,NA,"$60,001 to $90,000",5,0,0
Canadian citizen,36,British Columbia,Bachelor's degree,A man,9,4,Liberal Party,NA,"$30,001 to $60,000",10,1,0
Canadian citizen,55,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,3,6,Green Party,120000,NA,NA,0,0
Canadian citizen,47,Quebec,"Some technical, community college, CEGEP, College Classique",A man,4,10,Don't know/ Prefer not to answer,120000,NA,4,0,0
Canadian citizen,61,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Conservative Party,40000,NA,6,0,1
Canadian citizen,68,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,3,8,Liberal Party,81000,NA,NA,1,0
Canadian citizen,70,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,27000,NA,NA,0,0
Canadian citizen,44,Quebec,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,50000,NA,NA,0,0
Canadian citizen,36,Alberta,Professional degree or doctorate,A woman,4,8,Conservative Party,130000,NA,7,0,1
Canadian citizen,59,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,7,2,Green Party,55000,NA,NA,0,0
Canadian citizen,56,Ontario,Professional degree or doctorate,A woman,7,5,ndp,75000,NA,5,0,0
Canadian citizen,42,Prince Edward Island,Some university,A woman,0,10,Conservative Party,NA,Don't know/ Prefer not to answer,9,0,1
Canadian citizen,67,Ontario,Completed secondary/ high school,A man,10,0,Liberal Party,21000,NA,NA,1,0
Canadian citizen,68,Ontario,Bachelor's degree,A man,8,2,Conservative Party,NA,Don't know/ Prefer not to answer,NA,0,1
Canadian citizen,60,Ontario,Completed secondary/ high school,A man,NA,NA,Conservative Party,9000,NA,NA,0,1
Canadian citizen,29,Ontario,Bachelor's degree,A woman,2,10,ndp,26000,NA,NA,0,0
Canadian citizen,54,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,68000,NA,NA,0,1
Canadian citizen,61,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,0,10,Conservative Party,35000,NA,NA,0,1
Canadian citizen,56,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,3,6,Liberal Party,134000,NA,NA,1,0
Canadian citizen,72,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,7,8,Bloc Québécois,NA,"$30,001 to $60,000",5,0,0
Canadian citizen,79,Manitoba,Professional degree or doctorate,A man,5,7,Green Party,NA,"$60,001 to $90,000",6,0,0
Canadian citizen,59,Alberta,Completed secondary/ high school,A woman,0,8,People's Party,198000,NA,NA,0,0
Canadian citizen,61,Quebec,Master's degree,A man,9,9,Liberal Party,60000,NA,6,1,0
Canadian citizen,48,Quebec,Master's degree,A woman,7,4,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,5,0,0
Canadian citizen,65,Ontario,"Some technical, community college, CEGEP, College Classique",A man,NA,NA,Liberal Party,60000,NA,NA,1,0
Canadian citizen,62,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,63,Ontario,Bachelor's degree,A woman,3,9,Don't know/ Prefer not to answer,70000,NA,2,0,0
Canadian citizen,70,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,3,5,Don't know/ Prefer not to answer,125000,NA,NA,0,0
Canadian citizen,70,Ontario,Bachelor's degree,A man,3,8,Conservative Party,48000,NA,8,0,1
Canadian citizen,64,Ontario,Completed secondary/ high school,A man,8,3,Liberal Party,65000,NA,NA,1,0
Canadian citizen,62,Ontario,Bachelor's degree,A woman,3,8,Conservative Party,75000,NA,7,0,1
Canadian citizen,88,Ontario,Some secondary/ high school,A man,NA,NA,Don't know/ Prefer not to answer,NA,"$90,001 to $110,000",7,0,0
Canadian citizen,76,Quebec,Bachelor's degree,A man,NA,NA,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,60,Quebec,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,58,Quebec,Some university,A woman,6,6,Bloc Québécois,NA,"$30,001 to $60,000",NA,0,0
Canadian citizen,59,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,0,7,Don't know/ Prefer not to answer,55000,NA,NA,0,0
Canadian citizen,27,Ontario,"Some technical, community college, CEGEP, College Classique",A man,3,10,Liberal Party,50000,NA,NA,1,0
Canadian citizen,86,Quebec,Bachelor's degree,A man,9,2,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,71,Ontario,Some secondary/ high school,A man,NA,NA,Conservative Party,50000,NA,NA,0,1
Canadian citizen,44,Manitoba,Bachelor's degree,A woman,NA,NA,Liberal Party,43000,NA,NA,1,0
Canadian citizen,49,Quebec,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Liberal Party,NA,Don't know/ Prefer not to answer,NA,1,0
Canadian citizen,63,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,86,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,7,0,Liberal Party,29000,NA,3,1,0
Canadian citizen,47,Ontario,Bachelor's degree,A woman,7,2,Liberal Party,70000,NA,7,1,0
Canadian citizen,38,Quebec,Completed secondary/ high school,A man,9,2,Conservative Party,NA,"$30,001 to $60,000",7,0,1
Canadian citizen,71,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,8,5,Conservative Party,115000,NA,NA,0,1
Canadian citizen,61,Ontario,Completed secondary/ high school,A woman,NA,NA,Don't know/ Prefer not to answer,NA,"$30,001 to $60,000",3,0,0
Canadian citizen,69,Quebec,Bachelor's degree,A man,NA,7,Another party (please specify),170000,NA,NA,0,0
Canadian citizen,65,Ontario,Professional degree or doctorate,A man,NA,8,Liberal Party,140000,NA,4,1,0
Canadian citizen,67,Ontario,Completed elementary school,A man,1,7,Conservative Party,44000,NA,NA,0,1
Canadian citizen,37,Quebec,Master's degree,A man,0,10,Conservative Party,58000,NA,9,0,1
Canadian citizen,30,Ontario,Bachelor's degree,A man,6,8,People's Party,150000,NA,NA,0,0
Canadian citizen,45,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,4,9,Liberal Party,110000,NA,3,1,0
Canadian citizen,74,Ontario,Bachelor's degree,A woman,NA,10,Green Party,55000,NA,NA,0,0
Canadian citizen,80,Ontario,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Conservative Party,42000,NA,NA,0,1
Canadian citizen,37,Nova Scotia,"Some technical, community college, CEGEP, College Classique",A woman,NA,NA,Don't know/ Prefer not to answer,40000,NA,NA,0,0
Canadian citizen,62,Ontario,Bachelor's degree,A man,3,10,Conservative Party,NA,"$110,001 to $150,000",NA,0,1
Canadian citizen,22,Quebec,Bachelor's degree,A man,6,8,Liberal Party,30000,NA,NA,1,0
Canadian citizen,60,Ontario,"Completed technical, community college, CEGEP, College Classique",A woman,1,6,Green Party,NA,"$60,001 to $90,000",NA,0,0
Canadian citizen,32,New Brunswick,Bachelor's degree,A woman,3,7,Conservative Party,105000,NA,7,0,1
Canadian citizen,39,Ontario,Bachelor's degree,A woman,0,10,Don't know/ Prefer not to answer,70000,NA,5,0,0
Canadian citizen,65,Quebec,Some university,A woman,6,7,Bloc Québécois,NA,Don't know/ Prefer not to answer,5,0,0
Canadian citizen,48,Alberta,"Some technical, community college, CEGEP, College Classique",A woman,0,5,Conservative Party,149000,NA,5,0,1
Canadian citizen,61,Alberta,"Completed technical, community college, CEGEP, College Classique",A man,10,6,Conservative Party,103000,NA,5,0,1
Canadian citizen,49,Quebec,"Completed technical, community college, CEGEP, College Classique",A woman,5,8,Bloc Québécois,163000,NA,3,0,0
Canadian citizen,63,Ontario,"Completed technical, community college, CEGEP, College Classique",A man,NA,NA,Don't know/ Prefer not to answer,104000,NA,5,0,0
Canadian citizen,61,Quebec,Some university,A woman,7,NA,Liberal Party,39000,NA,NA,1,0
