sex,age,province,education,citizenship_status,income_respondent
Female,64.4,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$125,000 and more"
Male,28.8,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,39.9,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$75,000 to $99,999"
Male,71,British Columbia,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,57.9,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,39.7,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,53.8,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Female,51.7,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Male,37.8,Quebec,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,69.5,Ontario,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,68.9,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,40.1,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"Less than $25,000"
Female,68.6,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$75,000 to $99,999"
Male,17.3,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,56,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,60.4,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,58.5,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,18.5,Alberta,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,37.1,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,40,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,80,Quebec,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Female,80,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,40.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,39,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$50,000 to $74,999"
Male,57.4,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,38.4,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,80,New Brunswick,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,68.1,Saskatchewan,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,55.9,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,71.3,British Columbia,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,16.6,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,16.1,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,60.2,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,51.7,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,54,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,73,Ontario,Trade certificate or diploma,By birth,"Less than $25,000"
Female,43.3,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,39.1,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,40.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,15.9,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,64.7,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,73.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,16,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,44,Alberta,High school diploma or a high school equivalency certificate,By naturalization,"$125,000 and more"
Male,70.7,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,32.9,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,55.3,Alberta,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Male,72.8,New Brunswick,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Male,60.4,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,45.3,Ontario,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,41.9,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Male,49.7,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,66.3,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,55.1,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,69.1,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,53.4,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,40.1,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$25,000 to $49,999"
Male,78.6,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,64.8,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Male,71.8,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,50,Nova Scotia,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,68.5,British Columbia,"University certificate, diploma or degree above the bach...",Valid skip,"$75,000 to $99,999"
Male,69.3,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,29.8,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,80,British Columbia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,55.8,New Brunswick,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,57.3,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Female,66,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,26.5,Quebec,Trade certificate or diploma,By birth,"$125,000 and more"
Male,51.8,New Brunswick,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,41.7,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,60.2,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,49.2,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,29.1,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$75,000 to $99,999"
Male,63.4,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,46.6,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Male,73,Prince Edward Island,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,28.2,Alberta,"University certificate, diploma or degree above the bach...",By naturalization,"$25,000 to $49,999"
Male,17.8,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,56.1,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,60.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,71.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,69.9,Quebec,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,72.2,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,52.6,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,54.7,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,29.3,Ontario,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Female,64.5,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,70.9,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,60.1,Manitoba,University certificate or diploma below the bachelor's level,By birth,"Less than $25,000"
Female,60.5,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,80,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,48.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,64,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,57.4,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Female,35.4,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,54.5,Manitoba,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,73.3,Alberta,"University certificate, diploma or degree above the bach...",By naturalization,"$50,000 to $74,999"
Female,58.3,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,43.3,Ontario,"University certificate, diploma or degree above the bach...",Valid skip,"$25,000 to $49,999"
Female,21.3,Nova Scotia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,28.3,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,69.1,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,54,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Male,36.8,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,35.9,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,53.3,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Male,52.1,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,27,Quebec,Trade certificate or diploma,By birth,"$75,000 to $99,999"
Female,66.6,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,40.7,Quebec,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Male,41.6,British Columbia,University certificate or diploma below the bachelor's level,By naturalization,"$50,000 to $74,999"
Male,52.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Male,64.6,British Columbia,University certificate or diploma below the bachelor's level,By birth,"$125,000 and more"
Male,62.6,Alberta,Less than high school diploma or its equivalent,By birth,"$75,000 to $99,999"
Male,59.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Female,71.2,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,68.6,Prince Edward Island,"NA",By birth,"$50,000 to $74,999"
Female,52.3,Alberta,"University certificate, diploma or degree above the bach...",By naturalization,"$125,000 and more"
Male,58.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,71.5,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,59.2,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Male,57,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$100,000 to $ 124,999"
Female,44.7,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,79.5,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,41.4,Saskatchewan,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Female,72.8,British Columbia,"University certificate, diploma or degree above the bach...",By naturalization,"$50,000 to $74,999"
Male,68.7,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,68.3,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,63.2,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,68.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,68,Nova Scotia,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,60.4,Quebec,University certificate or diploma below the bachelor's level,By birth,"Less than $25,000"
Female,20.4,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,59.8,British Columbia,"NA",By birth,"Less than $25,000"
Female,42.3,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,35.5,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,58.3,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,32.9,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Male,75.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,62.4,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,48.5,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,50.8,Saskatchewan,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,39.3,British Columbia,University certificate or diploma below the bachelor's level,By birth,"$75,000 to $99,999"
Female,56.8,British Columbia,University certificate or diploma below the bachelor's level,By birth,"$75,000 to $99,999"
Female,44.6,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,27.3,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Male,46.5,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,31.2,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,64.9,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,29.9,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,31.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$125,000 and more"
Female,67.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Male,48.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,32.7,British Columbia,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Male,58.2,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,58.4,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Male,32.7,Saskatchewan,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Male,64.9,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Alberta,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Male,19.5,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,59.9,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,69.9,Alberta,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Male,58.1,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,31.3,Manitoba,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,43,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,80,Ontario,"NA",Valid skip,"$25,000 to $49,999"
Male,49,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Male,57.5,British Columbia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,60.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Male,16.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,68.4,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,72.2,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,74.7,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$75,000 to $99,999"
Female,38.2,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,44.4,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,71.8,Nova Scotia,Trade certificate or diploma,By naturalization,"$25,000 to $49,999"
Female,52.6,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,80,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,43.6,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,23.2,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,74.7,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,67.2,British Columbia,University certificate or diploma below the bachelor's level,By birth,"$75,000 to $99,999"
Male,80,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$50,000 to $74,999"
Male,69.7,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,56.6,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,56.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,33.8,British Columbia,University certificate or diploma below the bachelor's level,Valid skip,"Less than $25,000"
Male,73.3,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,42.6,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,33.9,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,48.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,71.9,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,36.9,Nova Scotia,Trade certificate or diploma,Valid skip,"Less than $25,000"
Female,32.8,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,58.2,Alberta,"NA",By birth,"Less than $25,000"
Female,70.2,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Female,54.7,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,66.6,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,73.3,Ontario,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,75.2,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,48.7,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,16.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,23.8,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"Less than $25,000"
Male,53.5,Quebec,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,36.3,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,36.5,Nova Scotia,Trade certificate or diploma,By birth,"Less than $25,000"
Female,53.1,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,45.9,Saskatchewan,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Female,76,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,35.2,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,74.3,Alberta,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,25.1,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,38,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,58.8,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,48.3,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,80,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,80,Ontario,Less than high school diploma or its equivalent,By birth,"$75,000 to $99,999"
Female,66.1,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,19.5,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,44.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,53.7,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Female,40.4,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,80,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,17.5,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,17.1,Prince Edward Island,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Male,30.1,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,59,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,46.4,Alberta,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,67.3,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,54.9,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,54.9,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,65.2,British Columbia,"University certificate, diploma or degree above the bach...",By naturalization,"$75,000 to $99,999"
Male,25.7,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"Less than $25,000"
Male,80,Ontario,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Female,63.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,68.2,New Brunswick,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Male,57,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,52.4,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,76.5,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,79.5,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Female,29.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,61.8,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,38.4,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,30.1,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Female,51.5,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,27.2,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,44.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,39.1,New Brunswick,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,80,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,32.3,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,79.6,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,36.2,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,58.7,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Male,62.7,Quebec,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,68.2,Nova Scotia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,27.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$25,000 to $49,999"
Male,29.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$50,000 to $74,999"
Male,76.2,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,51.6,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,38.2,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,73.4,Quebec,"NA",By birth,"$25,000 to $49,999"
Male,47.5,Quebec,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Male,15.2,British Columbia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,22.4,Quebec,"College, CEGEP or other non-university certificate or di...",Valid skip,"$25,000 to $49,999"
Female,30.5,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,67.4,Manitoba,High school diploma or a high school equivalency certificate,By naturalization,"$50,000 to $74,999"
Male,72.3,Nova Scotia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,69.8,Ontario,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,58.9,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,55.3,New Brunswick,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,77.3,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,26.7,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,59.7,Manitoba,"College, CEGEP or other non-university certificate or di...",By naturalization,"$25,000 to $49,999"
Female,52.1,Ontario,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Female,28.9,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,80,Ontario,Trade certificate or diploma,By naturalization,"$50,000 to $74,999"
Female,64.9,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,58.7,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,62.4,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Female,40.8,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,56.7,Alberta,Less than high school diploma or its equivalent,By naturalization,"$25,000 to $49,999"
Male,58.8,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,78.2,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,51.5,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,24.2,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,50.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,49.9,Nova Scotia,Trade certificate or diploma,By birth,"$25,000 to $49,999"
